iter	AUC	RMSE
0	0.8282919643	7.917887396
1	0.850739161	7.813447098
2	0.8522745015	7.713725855
3	0.8553451009	7.611133716
4	0.8585352842	7.509730326
5	0.8576742145	7.419050714
6	0.8581618495	7.328259352
7	0.859133204	7.233116071
8	0.8585940157	7.14503896
9	0.858310636	7.063001272
10	0.8596940902	6.975339721
11	0.8598815417	6.894736203
12	0.8600072436	6.81162599
13	0.8598348012	6.735088168
14	0.8612190711	6.656516938
15	0.8609258212	6.586720055
16	0.8605089904	6.518119317
17	0.8616590683	6.445615311
18	0.860792207	6.379902365
19	0.8608953135	6.313581001
20	0.8607788292	6.249426719
21	0.8611685783	6.18621568
22	0.8616606181	6.121842297
23	0.8615287984	6.060306356
24	0.8616165695	5.999580221
25	0.8618024711	5.944430282
26	0.8619762186	5.890672472
27	0.8622671029	5.832755836
28	0.8626332778	5.775495987
29	0.863165614	5.720686282
30	0.8633591834	5.670405255
31	0.8636941163	5.620301205
32	0.8641824039	5.570173989
33	0.8641378658	5.521770129
34	0.8643262962	5.475820959
35	0.8645669323	5.429438218
36	0.8649473822	5.383064623
37	0.8653927631	5.338875763
38	0.8654820025	5.295099194
39	0.8655792358	5.253499082
40	0.865838144	5.21347513
41	0.8660124625	5.175379797
42	0.8663984593	5.13892069
43	0.8667831509	5.101206653
44	0.8669515147	5.065195614
45	0.8671368453	5.031448489
46	0.8676908796	4.996504434
47	0.8678089952	4.964041396
48	0.8677858289	4.933373126
49	0.8678797994	4.902311083
50	0.8680553414	4.871507189
51	0.8678809414	4.844383676
52	0.8679778484	4.815826942
53	0.8681150518	4.789795479
54	0.8681936868	4.763818606
55	0.8682224	4.738445702
56	0.8682268049	4.715018368
57	0.8687392376	4.689422438
58	0.8689668224	4.664951959
59	0.8690549197	4.642108032
60	0.8690934215	4.620834952
61	0.869204522	4.600146036
62	0.8691635731	4.580264926
63	0.8691674885	4.560215815
64	0.8691893497	4.541491768
65	0.8692041957	4.522322059
66	0.8693750066	4.50376563
67	0.8695203672	4.485020298
68	0.869644356	4.467433103
69	0.8695658842	4.452462899
70	0.8696611598	4.435545697
71	0.869858563	4.418789512
72	0.8700389994	4.402769325
73	0.8701628251	4.386653611
74	0.870283551	4.37196023
75	0.8703918781	4.358421052
76	0.8705429487	4.34393213
77	0.8707189802	4.330047677
78	0.8709534169	4.316485496
79	0.8710751217	4.304055127
80	0.8711601193	4.291459538
81	0.8712777456	4.27987985
82	0.8714164173	4.267645984
83	0.8713731843	4.257054896
84	0.8714585082	4.246747815
85	0.8716495489	4.235527603
86	0.8717725588	4.225330101
87	0.8719115568	4.21488196
88	0.8720874252	4.205030551
89	0.8724262736	4.195018034
90	0.8725164917	4.186326632
91	0.8726213928	4.1769868
92	0.8728395152	4.167975913
93	0.8729499632	4.159590465
94	0.8730039636	4.151263043
95	0.873083088	4.143333008
96	0.8731209372	4.136071465
97	0.8731808108	4.129130993
98	0.8732235543	4.12188371
99	0.8733108359	4.115698465
100	0.8734413504	4.109097867
101	0.8735819799	4.10159246
102	0.8738609547	4.093860489
103	0.8739583512	4.087436275
104	0.8741905039	4.080620737
105	0.8744649108	4.07376532
106	0.874509612	4.068972518
107	0.8746528517	4.063114072
108	0.8748721161	4.056943873
109	0.8750135613	4.051179764
110	0.8751251512	4.045615618
111	0.8753370742	4.039304856
112	0.8754251715	4.033959486
113	0.8755915776	4.028079828
114	0.875741343	4.022754802
115	0.8758604375	4.017718896
116	0.8760234176	4.012665555
117	0.8761477327	4.007414213
118	0.8762627486	4.003136063
119	0.8764206712	3.998636121
120	0.8764247498	3.994839618
121	0.876536666	3.991150191
122	0.8766449931	3.987729492
123	0.8767068244	3.983572354
124	0.8768712727	3.97963717
125	0.8770725914	3.97510276
126	0.8772877772	3.970647149
127	0.8774579356	3.967086177
128	0.8775713201	3.963764151
129	0.8776620277	3.960366285
130	0.8778189714	3.956920704
131	0.8779157153	3.953650494
132	0.8780302419	3.949693025
133	0.8781344903	3.946455577
134	0.8783082378	3.943102747
135	0.8783960089	3.940287467
136	0.87852946	3.937526559
137	0.8786793886	3.934541242
138	0.8788426949	3.931120061
139	0.8789469434	3.928507936
140	0.8790245995	3.925925486
141	0.8791776278	3.923135923
142	0.8793391396	3.920426515
143	0.8793835145	3.917652126
144	0.8794796059	3.914972436
145	0.8794916785	3.912780032
146	0.8795267543	3.910399775
147	0.8797096378	3.907513031
148	0.8797881096	3.905229108
149	0.8799478268	3.90234137
150	0.8800667582	3.899969069
151	0.8802543728	3.897165864
152	0.8803395336	3.895386336
153	0.8804933776	3.89306976
154	0.8805778858	3.890644367
155	0.8807555487	3.888132238
156	0.880829942	3.885810501
157	0.8808746432	3.883938034
158	0.8809658403	3.881582881
159	0.881134204	3.879598595
160	0.8813317704	3.87716896
161	0.8814715841	3.874818105
162	0.8815923101	3.872617836
163	0.8817228246	3.87012202
164	0.881847466	3.867945482
165	0.8819530197	3.865703277
166	0.8821036008	3.863201532
167	0.8822311788	3.861452068
168	0.8823039406	3.859769135
169	0.8824481592	3.857890339
170	0.8824910659	3.85640113
171	0.8827284392	3.853986359
172	0.8828131105	3.85259973
173	0.8828923981	3.850902202
174	0.8829809848	3.849387777
175	0.883068919	3.847913314
176	0.8831643578	3.846667645
177	0.8832046541	3.845177611
178	0.8833054766	3.84365465
179	0.8834268552	3.841838951
180	0.8834917861	3.840767616
181	0.8835800466	3.83912943
182	0.8837187183	3.837255051
183	0.8838706046	3.835477021
184	0.8839228104	3.834093349
185	0.8839662065	3.832944419
186	0.8840614821	3.831356574
187	0.8841417486	3.829799527
188	0.8841977067	3.828565794
189	0.8843114175	3.826825309
190	0.8843817322	3.825774234
191	0.8845184462	3.82410835
192	0.8846000178	3.822807311
193	0.8847657713	3.820877998
194	0.8848479954	3.819450118
195	0.8848814398	3.818663276
196	0.8849726368	3.817305383
197	0.8850483352	3.816011369
198	0.8851041302	3.815098114
199	0.8851450792	3.814058124
200	0.8852468805	3.812953928
201	0.8854106763	3.81111867
202	0.8856181944	3.808835684
203	0.8856943822	3.807798763
204	0.8858134768	3.806612395
205	0.8858635617	3.80552663
206	0.8858839546	3.804931526
207	0.8859917923	3.803692199
208	0.88612247	3.802053954
209	0.8861451469	3.801437199
210	0.8863164472	3.799682827
211	0.8863919825	3.798417341
212	0.8865340802	3.796903665
213	0.8866225038	3.795690563
214	0.8867763478	3.794039256
215	0.8868481308	3.792961339
216	0.8869283973	3.791843134
217	0.8870917036	3.790405642
218	0.8871406466	3.789507887
219	0.8872571308	3.787948334
220	0.8873499593	3.78647614
221	0.8874041228	3.785734165
222	0.8875692237	3.783958122
223	0.8876010366	3.783257442
224	0.887668741	3.782054358
225	0.8877338352	3.781176512
226	0.8878281319	3.779925007
227	0.8878994255	3.778942747
228	0.8880361395	3.777575415
229	0.8880930764	3.776593545
230	0.8882332164	3.775083868
231	0.8883317549	3.774241634
232	0.8884006013	3.773252521
233	0.8884715686	3.772258746
234	0.8885257322	3.771537079
235	0.8886107298	3.770702427
236	0.8886283492	3.77017526
237	0.8886644039	3.769288621
238	0.8888410879	3.767735485
239	0.8889143392	3.766691783
240	0.8890621469	3.765195823
241	0.8891957612	3.763968112
242	0.8892863057	3.763196835
243	0.8893636355	3.76201643
244	0.8895036124	3.76081766
245	0.8895946463	3.759712596
246	0.8896429367	3.758872808
247	0.8897073782	3.758014834
248	0.8898364245	3.75702416
249	0.8899127755	3.755911523
250	0.8900503052	3.754190738
251	0.8900715138	3.753322691
252	0.8901344871	3.752615476
253	0.8902468927	3.751283333
254	0.8902589653	3.750769727
255	0.8903969845	3.74942796
256	0.8904978069	3.748392282
257	0.8906441464	3.747197261
258	0.8907603043	3.746012808
259	0.8908524802	3.74506864
260	0.8909366621	3.744046997
261	0.891009424	3.74290424
262	0.8910989896	3.741923851
263	0.8912637642	3.739949896
264	0.891313686	3.73904695
265	0.891400315	3.738026246
266	0.8914830286	3.737111974
267	0.8915787937	3.735974564
268	0.8916569393	3.735237658
269	0.8917796229	3.734065839
270	0.8918964334	3.732778679
271	0.892025806	3.731350286
272	0.8921634988	3.730120123
273	0.8922370764	3.729003918
274	0.8923589444	3.727876898
275	0.8924139236	3.72712879
276	0.8924640086	3.726289133
277	0.8925521059	3.725344674
278	0.8926405295	3.724214752
279	0.8927114968	3.723462851
280	0.8928159084	3.722431431
281	0.892979541	3.720826664
282	0.8931067927	3.71940041
283	0.8932422016	3.717935511
284	0.893419375	3.716428
285	0.8934859375	3.715547965
286	0.8935896965	3.714256925
287	0.8936875824	3.713397616
288	0.8938254384	3.712096134
289	0.89388417	3.711146555
290	0.8939432278	3.710473768
291	0.8940168054	3.709829292
292	0.8941424256	3.708451437
293	0.8942655987	3.70719987
294	0.8943360766	3.706264027
295	0.8944419565	3.705162668
296	0.8944798057	3.704485245
297	0.894497262	3.704182271
298	0.8946387072	3.702748006
299	0.8947075536	3.701881799
300	0.8947587806	3.701048718
301	0.8948605819	3.700141855
302	0.8949405221	3.699202119
303	0.8950007219	3.698479444
304	0.8950335137	3.697932724
305	0.8950831092	3.697186668
306	0.8951617442	3.696414003
307	0.8952033457	3.695784531
308	0.8952844279	3.694802015
309	0.8954253836	3.693496564
310	0.8955744965	3.691936893
311	0.8956640621	3.690932036
312	0.8957598271	3.690020411
313	0.8958236161	3.689002676
314	0.8958981726	3.68822434
315	0.895962451	3.68738939
316	0.8960428806	3.686378079
317	0.8961981929	3.685274788
318	0.8963900492	3.683537273
319	0.8965109383	3.682281628
320	0.8965965885	3.681357605
321	0.8966598881	3.680557383
322	0.8967633208	3.679356339
323	0.8969360895	3.677779362
324	0.8970656252	3.676400651
325	0.8972261581	3.674729662
326	0.8973609143	3.673293252
327	0.8974088784	3.672742859
328	0.8974826191	3.671934689
329	0.8975999191	3.670555796
330	0.8976584875	3.669695003
331	0.8978085792	3.668410668
332	0.8978929242	3.667549278
333	0.8979899944	3.666334429
334	0.8981705939	3.664573645
335	0.8982666853	3.663551718
336	0.8983441783	3.662608155
337	0.8984153087	3.661842352
338	0.8985226569	3.660965771
339	0.8985647479	3.660512529
340	0.8985730682	3.660150487
341	0.8986809058	3.658977247
342	0.8987287068	3.658300227
343	0.8988479644	3.656982932
344	0.8989236629	3.655963196
345	0.8989567809	3.655369623
346	0.8991339544	3.653631111
347	0.8992726261	3.652203343
348	0.8993696963	3.651179237
349	0.8994127661	3.650561287
350	0.8995602476	3.649180076
351	0.899720291	3.64767823
