iter	Passed	Remaining
0	27	21681
1	56	22384
2	80	21316
3	108	21534
4	136	21744
5	162	21479
6	189	21430
7	213	21132
8	238	20977
9	265	21002
10	291	20886
11	316	20763
12	341	20659
13	367	20630
14	392	20521
15	416	20409
16	443	20430
17	470	20424
18	496	20425
19	524	20459
20	550	20416
21	576	20377
22	601	20310
23	626	20250
24	650	20176
25	680	20257
26	707	20258
27	730	20148
28	757	20139
29	783	20110
30	809	20087
31	834	20031
32	861	20034
33	885	19954
34	912	19946
35	938	19913
36	964	19888
37	988	19813
38	1015	19806
39	1041	19791
40	1068	19785
41	1093	19733
42	1120	19732
43	1145	19676
44	1171	19659
45	1198	19642
46	1225	19636
47	1252	19616
48	1278	19602
49	1309	19641
50	1336	19629
51	1343	19324
52	1369	19300
53	1395	19280
54	1420	19245
55	1444	19195
56	1470	19168
57	1499	19189
58	1526	19174
59	1552	19151
60	1579	19132
61	1605	19112
62	1629	19061
63	1655	19043
64	1681	19018
65	1706	18975
66	1732	18952
67	1756	18906
68	1783	18897
69	1809	18870
70	1836	18854
71	1864	18848
72	1889	18817
73	1915	18796
74	1942	18772
75	1967	18745
76	1994	18732
77	2020	18701
78	2047	18689
79	2072	18649
80	2099	18632
81	2125	18608
82	2151	18586
83	2174	18534
84	2198	18489
85	2224	18468
86	2250	18441
87	2274	18403
88	2299	18372
89	2330	18388
90	2359	18383
91	2387	18376
92	2414	18354
93	2440	18331
94	2468	18321
95	2497	18311
96	2522	18280
97	2548	18253
98	2576	18242
99	2602	18218
100	2626	18177
101	2653	18156
102	2679	18135
103	2705	18108
104	2732	18083
105	2759	18064
106	2763	17897
107	2793	17899
108	2821	17884
109	2844	17842
110	2870	17817
111	2896	17790
112	2919	17748
113	2946	17733
114	2975	17720
115	3000	17691
116	3024	17654
117	3051	17637
118	3078	17617
119	3102	17578
120	3118	17501
121	3143	17467
122	3167	17431
123	3190	17393
124	3215	17366
125	3241	17340
126	3268	17321
127	3293	17290
128	3320	17270
129	3345	17244
130	3372	17220
131	3397	17191
132	3423	17170
133	3447	17133
134	3472	17105
135	3499	17084
136	3524	17057
137	3551	17037
138	3578	17018
139	3604	16991
140	3630	16966
141	3654	16936
142	3680	16909
143	3706	16884
144	3732	16862
145	3757	16833
146	3783	16805
147	3809	16782
148	3834	16755
149	3860	16729
150	3886	16705
151	3911	16673
152	3936	16645
153	3961	16616
154	3987	16594
155	4015	16576
156	4041	16550
157	4065	16518
158	4090	16491
159	4116	16467
160	4142	16442
161	4169	16420
162	4195	16394
163	4220	16366
164	4244	16335
165	4271	16312
166	4297	16290
167	4323	16265
168	4346	16230
169	4372	16203
170	4397	16176
171	4424	16154
172	4450	16131
173	4476	16105
174	4500	16072
175	4527	16050
176	4550	16016
177	4575	15990
178	4602	15967
179	4626	15937
180	4653	15915
181	4678	15885
182	4703	15856
183	4728	15830
184	4752	15799
185	4778	15775
186	4805	15752
187	4829	15720
188	4853	15689
189	4879	15664
190	4905	15640
191	4929	15610
192	4955	15585
193	4981	15560
194	5006	15531
195	5033	15511
196	5060	15488
197	5085	15460
198	5108	15429
199	5134	15402
200	5159	15376
201	5187	15357
202	5212	15329
203	5237	15301
204	5262	15275
205	5287	15247
206	5312	15217
207	5338	15193
208	5363	15166
209	5388	15139
210	5414	15115
211	5439	15087
212	5466	15065
213	5493	15043
214	5520	15019
215	5530	14954
216	5555	14926
217	5583	14907
218	5610	14883
219	5640	14869
220	5667	14848
221	5693	14822
222	5717	14794
223	5741	14763
224	5767	14738
225	5792	14711
226	5817	14684
227	5843	14659
228	5873	14645
229	5896	14614
230	5923	14589
231	5948	14563
232	5977	14545
233	6000	14515
234	6025	14486
235	6051	14463
236	6076	14435
237	6101	14407
238	6127	14382
239	6151	14353
240	6182	14339
241	6212	14323
242	6237	14297
243	6263	14271
244	6288	14245
245	6316	14224
246	6341	14197
247	6366	14171
248	6393	14146
249	6419	14123
250	6443	14093
251	6466	14061
252	6491	14035
253	6517	14009
254	6542	13981
255	6573	13968
256	6598	13942
257	6624	13917
258	6651	13892
259	6676	13866
260	6700	13838
261	6726	13812
262	6756	13795
263	6784	13775
264	6808	13744
265	6830	13713
266	6859	13693
267	6888	13674
268	6914	13648
269	6938	13619
270	6964	13594
271	6990	13570
272	7014	13540
273	7045	13524
274	7072	13502
275	7097	13474
276	7120	13445
277	7144	13415
278	7175	13398
279	7200	13371
280	7225	13345
281	7252	13321
282	7276	13292
283	7301	13266
284	7327	13241
285	7353	13215
286	7377	13186
287	7402	13159
288	7429	13136
289	7453	13107
290	7477	13078
291	7501	13051
292	7529	13028
293	7558	13008
294	7585	12985
295	7612	12961
296	7635	12931
297	7646	12880
298	7674	12858
299	7699	12833
300	7722	12802
301	7747	12775
302	7771	12748
303	7795	12718
304	7819	12690
305	7847	12668
306	7875	12647
307	7899	12619
308	7925	12593
309	7951	12568
310	7981	12550
311	8009	12526
312	8034	12501
313	8058	12472
314	8083	12445
315	8108	12419
316	8134	12393
317	8165	12376
318	8194	12355
319	8221	12332
320	8238	12292
321	8261	12264
322	8289	12241
323	8316	12217
324	8341	12191
325	8368	12168
326	8397	12146
327	8421	12119
328	8447	12093
329	8473	12068
330	8498	12041
331	8523	12015
332	8551	11992
333	8578	11968
334	8606	11946
335	8633	11922
336	8659	11897
337	8685	11872
338	8709	11844
339	8735	11817
340	8760	11792
341	8786	11766
342	8813	11742
343	8840	11718
344	8865	11691
345	8889	11664
346	8914	11637
347	8938	11610
348	8966	11587
349	8994	11563
350	9017	11535
351	9044	11511
352	9069	11484
353	9094	11458
354	9118	11429
355	9144	11405
356	9172	11381
357	9198	11356
358	9221	11328
359	9248	11304
360	9277	11281
361	9303	11257
362	9327	11229
363	9352	11202
364	9378	11176
365	9401	11148
366	9428	11123
367	9453	11097
368	9480	11073
369	9505	11047
370	9534	11025
371	9558	10997
372	9583	10970
373	9607	10943
374	9634	10918
375	9660	10893
376	9685	10867
377	9709	10840
378	9735	10813
379	9760	10788
380	9786	10763
381	9809	10733
382	9838	10711
383	9866	10688
384	9891	10662
385	9916	10635
386	9939	10606
387	9967	10584
388	9996	10562
389	10020	10534
390	10047	10509
391	10072	10483
392	10096	10455
393	10121	10429
394	10147	10404
395	10173	10378
396	10198	10352
397	10223	10326
398	10253	10304
399	10278	10278
400	10302	10251
401	10326	10223
402	10353	10199
403	10378	10172
404	10402	10146
405	10426	10118
406	10454	10095
407	10481	10070
408	10507	10045
409	10531	10017
410	10559	9993
411	10587	9970
412	10616	9948
413	10643	9924
414	10669	9898
415	10694	9872
416	10718	9844
417	10743	9818
418	10771	9794
419	10798	9770
420	10826	9746
421	10852	9721
422	10878	9695
423	10901	9667
424	10927	9641
425	10954	9617
426	10980	9591
427	11009	9568
428	11034	9542
429	11063	9519
430	11089	9494
431	11112	9466
432	11136	9439
433	11166	9416
434	11192	9391
435	11217	9364
436	11243	9339
437	11268	9313
438	11295	9288
439	11321	9262
440	11345	9235
441	11374	9212
442	11401	9188
443	11427	9162
444	11453	9137
445	11484	9115
446	11511	9090
447	11537	9065
448	11564	9040
449	11592	9016
450	11617	8990
451	11643	8964
452	11670	8939
453	11699	8916
